Date,Open,High,Low,Close,Adj Close,Volume
2019-10-14,26766.429688,26874.330078,26749.179688,26787.359375,26787.359375,178620000
2019-10-15,26811.199219,27120.109375,26811.199219,27024.800781,27024.800781,245510000
2019-10-16,26972.310547,27058.339844,26943.289063,27001.980469,27001.980469,214660000
2019-10-17,27032.380859,27112.160156,26970.289063,27025.880859,27025.880859,222540000
2019-10-18,27004.490234,27018.250000,26770.130859,26770.199219,26770.199219,288970000
2019-10-21,26852.669922,26852.669922,26747.619141,26827.640625,26827.640625,241030000
2019-10-22,26850.429688,26946.640625,26782.609375,26788.099609,26788.099609,265510000
2019-10-23,26835.240234,26896.890625,26745.000000,26833.949219,26833.949219,247680000
2019-10-24,26893.929688,26931.779297,26714.339844,26805.529297,26805.529297,253590000
2019-10-25,26789.609375,27015.369141,26765.679688,26958.060547,26958.060547,274610000
2019-10-28,27040.330078,27167.880859,27028.710938,27090.720703,27090.720703,290770000
2019-10-29,27061.070313,27165.939453,27039.759766,27071.460938,27071.460938,269610000
2019-10-30,27110.710938,27204.359375,26999.640625,27186.689453,27186.689453,231750000
2019-10-31,27188.369141,27188.369141,26918.289063,27046.230469,27046.230469,270910000
2019-11-01,27142.949219,27347.429688,27142.949219,27347.359375,27347.359375,270870000
2019-11-04,27402.060547,27517.580078,27402.060547,27462.109375,27462.109375,273030000
2019-11-05,27500.230469,27560.359375,27453.550781,27492.630859,27492.630859,286350000
2019-11-06,27502.740234,27526.050781,27407.810547,27492.560547,27492.560547,237910000
2019-11-07,27590.160156,27774.669922,27590.160156,27674.800781,27674.800781,259020000
2019-11-08,27686.199219,27694.949219,27578.970703,27681.240234,27681.240234,221440000
2019-11-11,27580.660156,27714.390625,27517.669922,27691.490234,27691.490234,202350000
2019-11-12,27701.589844,27770.859375,27635.320313,27691.490234,27691.490234,213670000
2019-11-13,27622.039063,27806.400391,27587.199219,27783.589844,27783.589844,278390000
2019-11-14,27757.199219,27800.710938,27676.970703,27781.960938,27781.960938,303970000
2019-11-15,27843.539063,28004.890625,27843.539063,28004.890625,28004.890625,283720000
2019-11-18,27993.220703,28040.970703,27969.240234,28036.220703,28036.220703,252320000
2019-11-19,28079.759766,28090.210938,27894.519531,27934.019531,27934.019531,245890000
2019-11-20,27879.550781,27897.279297,27675.279297,27821.089844,27821.089844,258140000
2019-11-21,27820.279297,27828.330078,27708.339844,27766.289063,27766.289063,232020000
2019-11-22,27831.230469,27898.460938,27773.980469,27875.619141,27875.619141,214780000
2019-11-25,27917.769531,28068.689453,27917.769531,28066.470703,28066.470703,248420000
