Date,Close_SP500,Volume_SP500,Close_Dow_Jones_Industrial_Average,Volume_Dow_Jones_Industrial_Average,Close_NASDAQ,Volume_NASDAQ,Close_Russell2000,Volume_Russell2000
2019-10-14,2966.149902,2557020000,26787.359375,178620000,8048.649901999999,1419730000,1505.430054,25570200
2019-10-15,2995.679932,3340740000,27024.800781,245510000,8148.709961,1836650000,1523.300049,33407400
2019-10-16,2989.689941,3222570000,27001.980469,214660000,8124.180176000001,1886720000,1525.060059,32225700
2019-10-17,2997.949951,3115960000,27025.880858999997,222540000,8156.850098000001,1861570000,1541.839966,31159600
2019-10-18,2986.199951,3264290000,26770.199219,288970000,8089.540039,2012930000,1535.47998,32642900
2019-10-21,3006.719971,3271620000,26827.640625,241030000,8162.990234000001,1752860000,1552.410034,32716200
2019-10-22,2995.98999,3523890000,26788.099609,265510000,8104.299805,1847200000,1550.869995,35238900
2019-10-23,3004.52002,3392870000,26833.949219,247680000,8119.790039,1805030000,1552.859985,33928700
2019-10-24,3010.290039,3692600000,26805.529297,253590000,8185.799805,1882490000,1548.48999,36926000
2019-10-25,3022.550049,3370370000,26958.060547000005,274610000,8243.120117,1894740000,1558.709961,33703700
2019-10-28,3039.419922,3521230000,27090.720702999995,290770000,8325.990234,1956280000,1571.930054,35212300
2019-10-29,3036.889893,3589930000,27071.460938,269610000,8276.849609,1834530000,1577.069946,35899300
2019-10-30,3046.77002,3776030000,27186.689452999995,231750000,8303.980469,1928420000,1572.849976,37760300
2019-10-31,3037.560059,4139280000,27046.230469,270910000,8292.360352,2258270000,1562.449951,41392800
2019-11-01,3066.909912,3930200000,27347.359375,270870000,8386.400391,2057310000,1589.329956,39302000
2019-11-04,3078.27002,4146850000,27462.109375,273030000,8433.200195,2149910000,1597.400024,41468500
2019-11-05,3074.6201170000004,4486130000,27492.630858999997,286350000,8434.679688,2316710000,1599.609985,44861300
2019-11-06,3076.780029,4458190000,27492.560547000005,237910000,8410.629883,2332650000,1589.540039,44581900
